display_name,handle,text,timestamp,permalink,replies,retweets,likes
Behier Rivadeneira,@behierTw,Continúa el  Paro   Nacional  en  Ecuador  y se suman otras regiones y provincias exigiendo la dimisión del presidente Noboa.  TODO NO    #FueraNoboaFuera #FueraNoboaFuera,2025-10-21T15:44:54.000Z,https://x.com/behierTw/status/1980661580527464727,0,0,0
El Dato Ec,@ElDatoEcua,"#Urgente  Mariana Yumbai, asambleísta por Pachakutik pide que se restablezca el diálogo con el gobierno para que se acabe el  Paro   Nacional . @ElDatoEcua  #ElDato   #Ecuador    #Pachakutik",2025-10-21T15:41:19.000Z,https://x.com/ElDatoEcua/status/1980660680312385726,0,0,0
Pie de Página,@PdPagina,#AbyaAyala  |  El 14 de octubre en Otavalo no fue solo un episodio de represión; en el  paro   nacional  de  #Ecuador  : fue la ruptura del Estado pluricultural y plurinacional   @GabyRuizMx  Cortesía Mull Tv,2025-10-21T15:36:00.000Z,https://x.com/PdPagina/status/1980659340462674205,0,0,0
Behier Rivadeneira,@behierTw,"Atentados explosivos, coche bomba, narcotrafico, utilización de policías y militares para reprimir y asesinar ecuatorianos durante las protestas contra su Gobierno son las acusaciones que enfrenta el joven presidente de  Ecuador  Daniel Noboa. Un mes de  Paro   Nacional …hasta",2025-10-21T15:35:37.000Z,https://x.com/behierTw/status/1980659246292238430,0,0,0
El Universo,@eluniversocom,"Bombas molotov, alambres de púas y lanzas con picos: expertos alertan de proyectiles más potentes y mayor daño a bienes durante  paro   nacional   ",2025-10-21T15:35:17.000Z,https://x.com/eluniversocom/status/1980659162146058570,0,0,0
EL POLÍTICO,@senjumalta,"El narcotráficante y miembro de cartel de drogas FAMILIA NOBOA  @DanielNoboaOk  está sembrando de nuevo caos en gye intimadando a todos con coches bomba el presidente narcotráficante hace uso de la violencia para desviar el  paro   nacional   #Ecuador    #Noboa   #Narco   #CasoPorsche #URGENTE #URGENTE Una nueva alerta por un posible coche bomba en la avenida 25 de julio, en Guayaquil, a altura del Dispensario Valdivia.",2025-10-21T14:09:35.000Z,https://x.com/senjumalta/status/1980637595437789299,0,0,0
Oromartv,@oromartv," Noticias Oromar | La Confederación de Nacionalidades Indígenas del  Ecuador , es duramente cuestionada por su manejo del  paro   nacional .
Algunos sectores critican su falta de claridad en las demandas, sus divisiones internas y la ausencia de diálogo con el gobierno.",2025-10-21T13:39:30.000Z,https://x.com/oromartv/status/1980630022516822115,0,0,0
La Hora Ecuador,@lahoraecuador,"La escasez de gas doméstico persiste en Otavalo, donde las familias hacen largas filas para conseguir cilindros  . La Gobernación de Imbabura confirmó el desabastecimiento. Detalles    ",2025-10-21T13:39:17.000Z,https://x.com/lahoraecuador/status/1980629967915610424,0,0,0
Noticias Oromar,@noticias_oromar," Noticias Oromar | La Confederación de Nacionalidades Indígenas del  Ecuador , es duramente cuestionada por su manejo del  paro   nacional .
Algunos sectores critican su falta de claridad en las demandas, sus divisiones internas y la ausencia de diálogo con el gobierno.",2025-10-21T13:38:42.000Z,https://x.com/noticias_oromar/status/1980629820359745605,0,0,0
Radio Pichincha,@radio_pichincha,"  #Entrevistas  ||  @JuanitaGoe , directora de la División de las Américas de  @hrw_espanol , señala en  #PuntoNoticias  que han verificado 15 videos, en el marco del  paro   nacional , y concluyen que ""el Gobierno de  Ecuador  ha reprimido las protestas haciendo uso excesivo de la fuerza,",2025-10-21T13:38:30.000Z,https://x.com/radio_pichincha/status/1980629770615353474,0,0,0
Periodista Andrés Figueroa Cornejo,@PeriodistaFigue,Ecuador : la CONAIE desconoce acuerdos regionales y mantiene convocatoria al  paro   nacional     …  a través de  @kaosenlarednet,2025-10-21T13:34:51.000Z,https://x.com/PeriodistaFigue/status/1980628853857939949,0,0,0
El Universo,@eluniversocom,"Estas son las vías cerradas por el  paro   nacional  este martes, 21 de octubre  ",2025-10-21T13:27:29.000Z,https://x.com/eluniversocom/status/1980626999891648789,0,0,0
Visión TV,@vtv_ecuador,#País    Este martes 21 de octubre se cumplen 30 días de  paro   nacional  convocado por la  #Conaie  y los cierres viales ascienden a seis provincias en las carreteras de  #Ecuador  .,2025-10-21T13:25:18.000Z,https://x.com/vtv_ecuador/status/1980626449385025779,0,0,0
